,Direction ‚ True,Wind Speed,Crosswind Speed,Headwind Speed,Temperature,Globe Temperature,Wind Chill,Relative Humidity,Heat Stress Index,Dew Point,Psychro Wet Bulb Temperature,Station Pressure,Barometric Pressure,Altitude,Density Altitude,NA Wet Bulb Temperature,WBGT,TWL,Direction ‚ Mag
sensor_a,100.52292045618535,1.1183242726529374,0.9624024806531636,1.017114601108706,3.9821931192988114,8.25613781275,4.032105886869342,19.38706262127713,3.8717943432260222,3.1176184405702334,2.63462000769708,6.201268333407684,6.201001089115984,51.60005097941514,162.78617122526737,3.163552436288903,4.016060435512263,28.538351362872483,100.50669428488095
sensor_b,99.86585101747697,1.140603322497277,0.9371394066163676,1.1208085276409905,4.0770517321239605,8.125431744671706,4.126614277588277,20.210343260181954,3.92847577291327,3.1036472489453675,2.6014473601524823,6.068529872636172,6.067453618503461,50.44482112039167,163.86720465447843,3.1313404043310165,3.9785625454518145,28.102493312908752,99.85698800473125
sensor_c,87.75106476871743,1.1959689271372198,1.0208591428757103,1.1274830996325829,4.012234878798148,8.240985534240346,4.066255855190385,19.35125885260928,3.9179135399215883,3.174913139420988,2.6900533990190523,6.138098759455658,6.1368065418085616,51.06349238737378,164.24279248979593,3.2366715818751572,4.066946900731174,27.680745622092907,87.75822430873178
sensor_d,90.1698525449629,1.318754537163715,1.204539842482843,1.109956994760857,4.012366053818848,7.821605629445131,4.0681887601125,19.74078162659778,3.8873555500047776,3.172981545862811,2.6535929422237343,5.913851654953826,5.910854337399447,49.18074348172644,162.8048150881949,3.159651433614992,3.9371203732384576,24.814528281203117,90.17775328675343
sensor_e,96.45996141650602,0.7148567856982071,0.5619736032791661,0.5647514403420534,4.362962069114178,7.949211346063561,4.373708940771186,20.157634345616856,4.297414954919549,3.069002823188984,2.6447340474645373,6.2389245989523925,6.238545139224145,51.87740901594392,172.34535523392293,3.070565508698664,3.9349222350924373,35.908107801889045,96.25104280334105
